2 2 0.9515 128 16 50 0.001 4 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_2.pkl 
2 3 0.9527 128 16 50 0.001 8 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_3.pkl 
2 4 0.9511 128 16 50 0.001 16 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_4.pkl 
2 5 0.9505 128 16 50 0.001 32 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_5.pkl 
2 6 0.9371 128 16 50 0.001 64 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_6.pkl 
2 7 0.9375 128 16 50 0.001 128 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_7.pkl 
2 8 0.9371 128 16 50 0.001 256 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_8.pkl

4 0 0.9529 128 16 50 0.001 0 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_0.pkl
4 1 0.9515 128 16 50 0.001 2 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_1.pkl
4 2 0.9515 128 16 50 0.001 4 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_2.pkl
4 3 0.9529 128 16 50 0.001 8 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_3.pkl
4 4 0.9529 128 16 50 0.001 16 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_4.pkl
4 5 0.9553 128 16 50 0.001 32 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_5.pkl
4 6 0.9521 128 16 50 0.001 64 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_6.pkl
