0 8 0.9569 128 4 50 0.001 256 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl

0 0 0.9571 128 8 50 0.001 0 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 1 0.9579 128 8 50 0.001 2 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 2 0.9591 128 8 50 0.001 4 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 3 0.9615 128 8 50 0.001 8 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 4 0.9599 128 8 50 0.001 16 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 5 0.9573 128 8 50 0.001 32 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 6 0.9575 128 8 50 0.001 64 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 7 0.9571 128 8 50 0.001 128 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 8 0.9593 128 8 50 0.001 256 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl

1 0 0.9519 128 2 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl
1 1 0.9505 128 2 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 
1 2 0.9589 128 2 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 
1 3 0.9559 128 2 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 
1 4 0.9547 128 2 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 

1 5 0.9571 128 4 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl
1 6 0.9523 128 4 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 
1 7 0.9509 128 4 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 
1 8 0.9557 128 4 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 
1 9 0.9565 128 4 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 

1 10 0.9561 128 8 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl
1 11 0.9571 128 8 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 
1 12 0.9571 128 8 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 
1 13 0.9581 128 8 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 
1 14 0.9573 128 8 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 

1 15 0.9601 128 16 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl
1 16 0.9585 128 16 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 
1 17 0.9587 128 16 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 
1 18 0.9607 128 16 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 
1 19 0.9593 128 16 50 0.001 32 1 False 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu，随机选择 ./models/ResNet/version1_resnet56_after_model_0.pkl 

